TransactionID,ProductID,ProductName,ProductCategory,SalesQuantity,SalesPrice,DiscountAmount,FinalSalePrice,TransactionDate,TimeOfDay,SalesChannel,PaymentMethod,PaymentStatus,TransactionStatus,CustomerID,CustomerAge,CustomerGender,CustomerLocation,LoyaltyProgramMember,CustomerFeedbackRating,ReturnFlag,ReturnReason,StoreLocation,Region,PromoCodeUsed,DiscountPercentage,ShippingMethod,ShippingFee,ShippingStatus,SalesTax,CrossSellProducts,UpsellProducts
TX833547,1073,Product_1073,Furniture,7,232,42.990911440202254,189.00908855979776,2024-12-05,Evening,In-store,Cash,Pending,Canceled,10226,30,Female,City_16,No,3,true,null,Store_12,South,false,0,Expedited,5,In-transit,18.900908855979775,Product_1014,null
TX623643,1086,Product_1086,Furniture,7,177,21.29954790081929,155.70045209918072,2025-01-29,Afternoon,Mobile app,Cash,Refunded,Canceled,10460,47,Female,City_10,No,5,false,null,Store_34,South,true,5.085918465010472,Standard,18,Delivered,15.570045209918073,null,Product_1510
TX248379,1063,Product_1063,Clothing,3,475,35.98027330193591,439.0197266980641,2024-11-03,Evening,Online,Cash,Paid,Completed,10263,57,Other,City_20,No,3,false,Other,Store_34,West,true,2.720640078588623,Standard,7,Pending,43.90197266980641,Product_1037,Product_1548
TX444636,1058,Product_1058,Electronics,8,113,15.838798641736137,97.16120135826387,2025-01-26,Morning,Online,Credit card,Paid,Returned,10109,53,Male,City_93,No,4,true,Changed mind,Store_38,North,true,17.608178954702108,None,0,In-transit,9.716120135826387,Product_1027,null
TX900487,1086,Product_1086,Furniture,2,210,40.013374776839726,169.98662522316027,2024-11-12,Morning,Mobile app,Credit card,Refunded,Returned,10358,52,Female,City_57,No,2,false,null,Store_36,South,false,0,None,0,Delivered,16.998662522316028,Product_1085,null
TX417811,1021,Product_1021,Electronics,3,396,55.74077768099495,340.25922231900506,2024-09-16,Evening,Mobile app,Online wallet,Refunded,Returned,10089,53,Female,City_21,Yes,3,false,null,Store_6,West,true,17.75285547781445,Expedited,19,Delivered,34.02592223190051,null,Product_1582
TX521824,1044,Product_1044,Clothing,8,411,13.961654941288629,397.03834505871134,2025-01-11,Afternoon,Mobile app,Online wallet,Pending,Canceled,10009,31,Male,City_65,Yes,3,false,Defective,Store_33,West,true,15.677914847965763,Standard,6,Delivered,39.703834505871136,Product_1065,Product_1580
TX679416,1077,Product_1077,Furniture,1,329,49.62641295925831,279.3735870407417,2024-11-03,Morning,Online,Cash,Refunded,Canceled,10254,46,Other,City_60,Yes,2,false,Changed mind,Store_34,East,true,18.74531071404752,None,0,Delivered,27.93735870407417,null,Product_1596
TX131264,1083,Product_1083,Furniture,8,160,31.26067487587879,128.7393251241212,2024-10-27,Afternoon,Online,Cash,Refunded,Completed,10073,52,Other,City_98,No,4,false,Defective,Store_1,West,true,9.742105281223893,Expedited,14,In-transit,12.87393251241212,Product_1045,null
TX540421,1005,Product_1005,Furniture,5,424,84.73178868227781,339.2682113177222,2024-10-11,Morning,In-store,Online wallet,Paid,Canceled,10131,33,Male,City_10,No,3,false,Changed mind,Store_4,South,true,2.364580956300555,Standard,17,In-transit,33.92682113177222,Product_1099,null
TX200401,1003,Product_1003,Clothing,5,108,19.816905808091867,88.18309419190814,2024-11-12,Evening,In-store,Online wallet,Refunded,Completed,10256,33,Other,City_26,No,3,false,Defective,Store_39,South,true,17.918324057506815,None,0,In-transit,8.818309419190815,null,null
TX240537,1083,Product_1083,Clothing,7,245,36.73653072135401,208.263469278646,2024-11-24,Morning,In-store,Credit card,Paid,Completed,10279,25,Male,City_83,Yes,2,false,Other,Store_5,East,false,0,None,0,Delivered,20.826346927864602,Product_1000,null
TX809949,1031,Product_1031,Electronics,6,281,39.368557416038676,241.63144258396133,2024-09-07,Morning,Online,Credit card,Pending,Returned,10251,40,Female,City_50,Yes,3,true,Other,Store_20,South,false,0,Standard,9,Delivered,24.163144258396134,Product_1026,null
TX311977,1071,Product_1071,Toys,9,144,11.417266651512781,132.5827333484872,2024-08-12,Morning,In-store,Online wallet,Pending,Returned,10112,24,Female,City_3,No,3,false,Changed mind,Store_31,North,false,0,None,0,Delivered,13.258273334848722,null,Product_1545
TX594586,1037,Product_1037,Furniture,6,151,25.23376587854376,125.76623412145624,2024-08-10,Afternoon,Online,Cash,Refunded,Returned,10393,50,Other,City_88,Yes,1,true,Other,Store_18,West,true,2.8159081513004125,None,0,In-transit,12.576623412145624,Product_1016,null
TX929047,1093,Product_1093,Clothing,8,307,26.898293055455955,280.10170694454405,2024-12-31,Morning,Mobile app,Credit card,Pending,Returned,10076,27,Other,City_32,No,3,false,Defective,Store_48,South,true,10.785786014359275,Expedited,16,Delivered,28.010170694454406,null,null
TX447865,1026,Product_1026,Toys,7,109,14.324494213597443,94.67550578640255,2024-09-18,Afternoon,Mobile app,Cash,Pending,Returned,10261,47,Female,City_2,Yes,2,false,Changed mind,Store_47,South,true,12.739815338268546,Standard,14,Delivered,9.467550578640255,null,Product_1577
TX838806,1064,Product_1064,Furniture,10,200,4.035109326187234,195.96489067381276,2025-01-15,Afternoon,Online,Cash,Refunded,Returned,10245,62,Male,City_65,Yes,2,true,null,Store_26,West,true,10.681960195266253,Expedited,6,Pending,19.596489067381277,Product_1099,null
TX654432,1078,Product_1078,Toys,2,380,26.71683172080866,353.28316827919133,2024-11-02,Afternoon,In-store,Credit card,Refunded,Returned,10377,48,Male,City_37,No,5,true,Changed mind,Store_20,South,false,0,Standard,14,Delivered,35.32831682791913,Product_1080,null
TX415651,1091,Product_1091,Toys,9,265,35.601712363507694,229.3982876364923,2024-09-23,Afternoon,In-store,Cash,Paid,Canceled,10485,40,Male,City_6,No,1,false,Defective,Store_20,North,true,9.580523667644991,None,0,In-transit,22.93982876364923,Product_1010,null
TX749720,1004,Product_1004,Clothing,7,140,2.0650624732775102,137.93493752672248,2024-11-04,Afternoon,Mobile app,Online wallet,Refunded,Canceled,10016,23,Male,City_87,No,1,true,Defective,Store_21,North,false,0,None,0,Delivered,13.793493752672248,Product_1026,null
TX424409,1071,Product_1071,Clothing,6,366,38.2367349867835,327.7632650132165,2025-01-13,Afternoon,Online,Cash,Pending,Completed,10058,20,Female,City_37,Yes,4,true,Other,Store_23,East,false,0,None,0,In-transit,32.77632650132165,null,Product_1550
TX494722,1088,Product_1088,Clothing,5,68,8.20929705553165,59.79070294446835,2024-12-29,Evening,In-store,Credit card,Pending,Completed,10150,43,Male,City_71,Yes,1,true,Other,Store_12,West,false,0,Expedited,7,Delivered,5.979070294446835,Product_1080,Product_1540
